objectid,parentid,title,origin,from,section,Foliation,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
lndl044,,Historiated initial of the Virgin praying,Italian,Book of Hours,Gradual Psalms,238r,15th century,The Virgin praying,Book of Hours; Mary; praying; Italian; historiated initial,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/xannunciation_fr.png,/objects/small/xvirgin_praying_ital_sm.jpg,/objects/thumbs/xvirgin_praying_ital_th.jpg,,
lndl045,,Illustration of the Virgin praying,French,Book of Hours,Prayers,120v,15th century,The Virgin praying,Book of Hours; full page; French; Mary; praying,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/xannunciation_fr.png,/objects/small/xvirginpg_fr_sm.jpg,/objects/thumbs/xvirginpg_fr_th.jpg,,
image/png,,,,,,,,,,,,,,,,,,,,,,,,,
compound002,,Italian Calendar,,Book of Hours,Calendar,1r-12v,15th century,1 month per folio for whole calendar,Calendar; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,compound_object,,,,,
lndl047,compound002,January,Italian,Book of Hours,Calendar,1r,15th century,1 month per folio,Calendar; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/01jancal_ital.png,/objects/small/01jancal_ital_sm.jpg,/objects/thumbs/01jancal_ital_th.jpg,,
lndl048,compound002,January,Italian,Book of Hours,Calendar,1v,15th century,1 month per folio,Calendar; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/02jancal2_ital.png,/objects/small/02jancal2_ital_sm.jpg,/objects/thumbs/02jancal2_ital_th.jpg,,
lndl049,compound002,February,Italian,Book of Hours,Calendar,2r,15th century,1 month per folio,Calendar; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/03febcal_ital.png,/objects/small/03febcal_ital_sm.jpg,/objects/thumbs/03febcal_ital_th.jpg,,
lndl050,compound002,February,Italian,Book of Hours,Calendar,2v,15th century,1 month per folio,Calendar; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/04febcal2_ital.png,/objects/small/04febcal2_ital_sm.jpg,/objects/thumbs/04febcal2_ital_th.jpg,,
lndl051,compound002,March,Italian,Book of Hours,Calendar,3r,15th century,1 month per folio,Calendar; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/05xmarcal_ital.png,/objects/small/05xmarcal_ital_sm.jpg,/objects/thumbs/05xmarcal_ital_th.jpg,,
lndl052,compound002,March,Italian,Book of Hours,Calendar,3v,15th century,1 month per folio,Calendar; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/06xmarcal2_ital.png,/objects/small/06xmarcal2_ital_sm.jpg,/objects/thumbs/06xmarcal2_ital_th.jpg,,
lndl053,compound002,April,Italian,Book of Hours,Calendar,4r,15th century,1 month per folio,Calendar; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/07xaprcal_ital.png,/objects/small/07xaprcal_ital_sm.jpg,/objects/thumbs/07xaprcal_ital_th.jpg,,
lndl054,compound002,April,Italian,Book of Hours,Calendar,4v,15th century,1 month per folio,Calendar; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/08xaprcal2_ital.png,/objects/small/08xaprcal2_ital_sm.jpg,/objects/thumbs/08xaprcal2_ital_th.jpg,,
lndl055,compound002,May,Italian,Book of Hours,Calendar,5r,15th century,1 month per folio,Calendar; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/09xmaycal_ital.png,/objects/small/09xmaycal_ital_sm.jpg,/objects/thumbs/09xmaycal_ital_th.jpg,,
lndl056,compound002,May,Italian,Book of Hours,Calendar,5v,15th century,1 month per folio,Calendar; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/10xmaycal2_ital.png,/objects/small/10xmaycal2_ital_sm.jpg,/objects/thumbs/10xmaycal2_ital_th.jpg,,
lndl057,compound002,June,Italian,Book of Hours,Calendar,6r,15th century,1 month per folio,Calendar; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/11xjuncal_ital.png,/objects/small/11xjuncal_ital_sm.jpg,/objects/thumbs/11xjuncal_ital_th.jpg,,
lndl058,compound002,June,Italian,Book of Hours,Calendar,6v,15th century,1 month per folio,Calendar; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/12xjuncal2_ital.png,/objects/small/12xjuncal2_ital_sm.jpg,/objects/thumbs/12xjuncal2_ital_th.jpg,,
lndl059,compound002,July,Italian,Book of Hours,Calendar,7r,15th century,1 month per folio,Calendar; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/13xjulcal_ital.png,/objects/small/13xjulcal_ital_sm.jpg,/objects/thumbs/13xjulcal_ital_th.jpg,,
lndl060,compound002,July,Italian,Book of Hours,Calendar,7v,15th century,1 month per folio,Calendar; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/14xjulcal2_ital.png,/objects/small/14xjulcal2_ital_sm.jpg,/objects/thumbs/14xjulcal2_ital_th.jpg,,
lndl061,compound002,August,Italian,Book of Hours,Calendar,8r,15th century,1 month per folio,Calendar; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/15xaugcal_ital.png,/objects/small/15xaugcal_ital_sm.jpg,/objects/thumbs/15xaugcal_ital_th.jpg,,
